user,usb_insertions,files_accessed,sensitive_files_accessed
AAE0190,1,3,0
AAF0535,1,8,1
AAF0791,1,3,1
AAL0706,2,3,1
AAM0658,1,6,2
AAN0823,2,6,0
AAS0442,1,8,1
AAV0450,2,5,1
AAW0353,1,8,1
ABC0174,0,7,2
ABC0253,1,4,1
ABH0663,0,11,5
ABM0845,0,8,1
ABN0239,0,6,2
ACC0042,1,9,2
ACV0812,0,7,1
ADC0391,0,9,2
ADD0846,10,39,36
ADF0397,1,8,1
AES0827,1,8,1
AGB0186,2,6,5
AGB0643,3,5,1
AHC0142,1,2,1
AHD0848,0,8,1
AHG0634,0,7,1
AHM0410,1,3,1
AIB0948,1,7,1
AIH0675,0,2,1
AIM0627,1,7,1
AIP0394,0,2,1
AIP0982,1,4,1
AIS0405,1,7,1
AJC0840,7,53,49
AJD0074,1,3,0
AJF0370,1,6,0
AJH0175,0,10,3
AJL0462,1,4,1
AJN0607,1,6,1
AJP0723,0,5,1
AJR0319,1,7,2
AJR0932,0,7,1
AKC0924,1,2,0
AKF0709,1,7,1
AKH0758,0,3,2
AKK0329,1,4,1
AKR0057,1,8,1
AKW0167,0,3,2
ALB0892,1,11,4
ALC0788,1,10,3
ALD0529,0,9,2
ALD0544,1,8,1
ALH0402,0,4,1
AMD0077,1,3,2
AMH0464,0,6,1
AMH0794,0,9,4
AMJ0297,1,2,1
AMM0014,1,5,3
AMR0318,1,7,1
AMR0400,1,5,2
AMV0036,0,4,3
AMW0392,0,5,1
ANM0123,13,49,48
ANP0555,15,29,27
ANT0430,0,4,2
AOB0019,2,7,1
AOK0844,1,7,1
AOS0987,1,7,2
APG0307,1,6,1
AQD0820,0,7,2
ARA0252,10,38,34
ARB0834,1,6,1
ARB0881,1,7,1
ARD0509,0,6,3
ARL0034,0,5,1
ASB0796,1,7,0
ASD0577,0,6,0
ASG0048,1,3,0
ASG0692,0,4,1
ASL0378,1,4,1
ASM0575,1,6,1
ASS0206,2,6,1
ASS0517,0,6,1
ASV0946,0,5,1
ATE0869,1,8,1
ATF0274,0,1,0
ATP0662,0,4,2
AVM0947,1,5,2
AWM0764,1,7,1
BAH0875,1,7,1
BAJ0654,0,6,0
BAK0964,1,8,1
BAL0044,0,4,1
BAM0611,1,9,3
BAM0636,1,8,2
BBG0325,1,5,4
BBH0810,2,3,1
BBS0039,0,1,0
BBS0422,1,8,1
BCB0679,0,8,1
BCM0653,1,3,0
BCR0581,0,6,1
BDB0453,1,6,1
BDI0533,1,7,1
BDV0168,0,9,3
BEC0505,1,8,1
BEH0615,0,6,1
BER0314,1,2,1
BHC0665,1,5,1
BHW0458,1,8,5
BIH0745,2,7,3
BIS0247,1,2,1
BJH0354,4,4,1
BJH0811,1,3,0
BJM0111,0,3,0
BJP0134,0,7,0
BJW0619,0,7,1
BKW0374,1,3,1
BLB0114,0,5,1
BLL0929,1,5,2
BLS0678,2,6,1
BMC0547,1,3,1
BMG0917,1,8,3
BMM0112,0,6,0
BMS0877,1,2,0
BMT0528,11,49,42
BNG0237,1,2,1
BNR0965,1,2,0
BQS0525,1,8,2
BRB0355,1,5,2
BRM0995,0,2,0
BRS0734,7,51,50
BSA0431,4,49,46
BSB0990,1,4,1
BSH0445,0,7,1
BSS0369,1,7,1
BSS0463,3,6,2
BTL0226,1,3,0
BTL0722,1,6,3
BTN0061,0,8,1
BTR0403,0,7,1
BTS0011,0,4,1
BTW0005,1,5,1
BVC0790,0,4,1
BVN0514,1,7,0
BWH0813,15,62,61
BWP0202,1,4,1
BXJ0010,0,2,0
BYP0070,0,2,1
CAA0612,1,8,1
CAB0388,1,6,0
CAB0614,2,5,0
CAC0889,1,8,3
CAH0936,1,8,1
CAM0102,0,5,1
CAM0681,7,65,58
CAN0842,0,7,1
CAS0507,2,3,2
CBB0365,0,10,3
CBG0398,1,5,1
CBG0490,1,5,1
CCA0046,1,5,1
CCC0393,0,6,2
CCH0182,1,8,2
CCH0685,1,7,0
CCL0068,2,2,1
CCM0136,1,8,1
CCM0467,1,3,2
CCM0855,1,6,2
CCR0863,1,4,1
CCW0031,0,8,5
CCW0524,1,6,1
CEB0210,1,3,1
CEJ0109,0,1,0
CEL0561,1,2,1
CFG0959,1,4,1
CFM0767,0,3,0
CFW0264,0,3,1
CGA0629,2,3,1
CGB0637,0,4,1
CGF0337,0,5,1
CHG0146,2,5,1
CHM0821,1,7,0
CIG0052,0,3,1
CIM0271,2,4,1
CIM0926,1,6,1
CJC0494,0,7,1
CJF0802,2,4,2
CJG0470,1,4,1
CJH0702,1,8,1
CJK0200,1,7,1
CJM0138,0,9,3
CJM0521,0,8,2
CJP0952,1,4,0
CJV0286,1,8,1
CKB0427,2,6,2
CKB0482,4,7,3
CKD0680,0,10,4
CKH0144,1,2,1
CKP0721,0,4,0
CLB0774,1,9,8
CLD0894,0,5,0
CLF0852,0,9,2
CLH0703,0,8,2
CLS0296,2,5,4
CMB0912,1,5,2
CMM0487,1,3,0
CMS0454,1,3,1
CMW0783,1,8,2
CNB0900,1,7,1
CNE0352,1,4,1
CNM0800,1,8,1
COF0120,14,30,29
COM0321,1,7,0
CPG0322,1,2,0
CQH0701,1,7,2
CQH0730,1,8,3
CQW0652,2,7,1
CRD0624,1,5,1
CRK0916,0,3,1
CRO0027,1,3,1
CRP0456,1,3,1
CSB0080,0,5,1
CSC0217,1,6,1
CSH0626,1,11,4
CSJ0340,1,2,1
CSL0949,2,7,3
CSP0197,0,1,0
CTA0020,11,37,32
CTR0341,1,4,1
CTR0697,0,5,1
CTW0500,1,3,1
CUD0795,1,6,1
CWB0065,4,4,2
CWR0502,2,3,2
CXC0336,11,67,63
CYA0506,0,6,3
DAG0558,1,5,1
DAL0673,1,3,0
DAR0885,1,8,1
DBB0384,0,4,1
DBG0261,5,56,54
DBS0235,0,4,2
DBW0483,0,7,0
DCC0160,7,59,58
DCH0843,1,9,3
DDA0476,0,3,1
DDM0579,1,6,1
DEB0782,0,6,1
DFH0188,1,5,1
DFR0218,0,4,1
DGF0443,15,111,104
DGM0754,0,7,1
DGN0480,0,7,2
DGW0752,13,59,55
DHM0937,1,2,1
DIB0081,1,3,1
DIB0285,0,4,1
DIC0988,1,7,2
DID0650,1,7,6
DIW0118,2,11,8
DJB0159,0,2,0
DJS0682,15,62,61
DKB0631,1,9,2
DLF0377,10,55,54
DLH0029,14,64,62
DLM0051,0,4,1
DLS0383,0,5,0
DMG0358,1,8,6
DMK0257,1,7,5
DMM0623,3,8,3
DOL0332,0,8,2
DOP0562,1,7,1
DPM0423,5,5,2
DPS0262,15,55,48
DRR0162,16,39,35
DRR0242,3,2,1
DSB0731,4,24,19
