user,usb_insertions,files_accessed,sensitive_files_accessed
AAE0190,1,4,0
AAF0535,2,3,2
AAF0791,1,6,1
AAL0706,1,5,1
AAM0658,1,7,2
AAN0823,2,3,0
AAS0442,1,4,1
AAV0450,2,3,1
AAW0353,1,4,1
ABC0174,0,8,1
ABC0253,1,3,2
ABH0663,1,10,6
ABM0845,0,5,1
ABN0239,0,7,2
ACC0042,0,8,1
ACV0812,0,8,1
ADC0391,0,9,2
ADD0846,11,53,51
ADF0397,2,5,2
AES0827,1,6,1
AGB0186,2,9,5
AGB0643,1,4,0
AHC0142,1,7,1
AHD0848,0,6,1
AHG0634,0,8,1
AHM0410,1,3,1
AIB0948,1,3,1
AIH0675,0,6,1
AIM0627,1,5,1
AIP0394,0,8,1
AIP0982,1,7,1
AIS0405,1,2,1
AJC0840,7,44,43
AJD0074,1,1,0
AJF0370,1,4,0
AJH0175,0,9,2
AJL0462,1,3,2
AJN0607,1,5,1
AJP0723,0,3,1
AJR0319,1,7,2
AJR0932,0,8,1
AKC0924,1,6,0
AKF0709,1,2,1
AKH0758,0,9,2
AKK0329,1,5,1
AKR0057,1,4,1
AKW0167,0,3,1
ALB0892,1,7,5
ALC0788,1,6,3
ALD0529,0,4,1
ALD0544,2,3,2
ALH0402,0,7,1
AMD0077,1,5,2
AMH0464,0,3,1
AMH0794,0,10,5
AMJ0297,1,4,1
AMM0014,1,6,4
AMR0318,1,5,1
AMR0400,0,6,1
AMV0036,0,6,4
AMW0392,0,2,1
ANM0123,11,61,54
ANP0555,14,34,28
ANT0430,0,8,1
AOB0019,2,3,1
AOK0844,1,8,1
AOS0987,1,4,2
APG0307,1,5,1
AQD0820,0,8,2
ARA0252,12,46,39
ARB0834,1,6,1
ARB0881,1,6,1
ARD0509,0,4,3
ARL0034,0,4,1
ASB0796,1,1,0
ASD0577,0,5,0
ASG0048,1,2,0
ASG0692,1,9,2
ASL0378,0,3,0
ASM0575,2,3,1
ASS0206,2,7,1
ASS0517,0,7,1
ASV0946,0,8,1
ATE0869,1,3,1
ATF0274,0,2,0
ATP0662,0,6,1
AVM0947,1,7,2
AWM0764,1,7,1
BAH0875,1,8,1
BAJ0654,0,7,0
BAK0964,1,3,1
BAL0044,0,8,1
BAM0611,1,8,4
BAM0636,1,9,2
BBG0325,1,8,6
BBH0810,1,4,1
BBS0039,0,5,0
BBS0422,1,7,1
BCB0679,0,2,1
BCM0653,1,6,0
BCR0581,0,4,2
BDB0453,1,4,1
BDI0533,1,8,2
BDV0168,0,8,2
BEC0505,1,3,1
BEH0615,0,7,1
BER0314,1,3,1
BHC0665,1,6,1
BHW0458,1,5,4
BIH0745,1,6,2
BIS0247,1,2,1
BJH0354,4,6,1
BJH0811,1,1,0
BJM0111,0,2,0
BJP0134,0,6,0
BJW0619,0,6,1
BKW0374,1,7,1
BLB0114,1,10,3
BLL0929,1,3,1
BLS0678,2,7,1
BMC0547,1,8,1
BMG0917,1,6,2
BMM0112,0,3,0
BMS0877,1,7,0
BMT0528,12,55,49
BNG0237,1,4,1
BNR0965,1,3,0
BQS0525,1,9,2
BRB0355,1,9,2
BRM0995,0,7,0
BRS0734,4,41,40
BSA0431,7,57,51
BSB0990,0,2,0
BSH0445,0,6,1
BSS0369,1,7,1
BSS0463,2,4,1
BTL0226,1,6,0
BTL0722,2,11,4
BTN0061,0,8,1
BTR0403,0,5,1
BTS0011,1,8,3
BTW0005,1,4,1
BVC0790,0,6,2
BVN0514,1,1,0
BWH0813,19,75,71
BWP0202,1,7,1
BXJ0010,0,4,0
BYP0070,0,6,1
CAA0612,1,5,1
CAB0388,1,2,0
CAB0614,2,7,0
CAC0889,1,5,3
CAH0936,1,6,1
CAM0102,0,5,1
CAM0681,6,59,56
CAN0842,0,7,1
CAS0507,1,4,1
CBB0365,0,7,3
CBG0398,1,3,1
CBG0490,2,8,3
CCA0046,1,7,1
CCC0393,0,8,2
CCH0182,1,3,2
CCH0685,2,4,0
CCL0068,2,8,1
CCM0136,3,7,2
CCM0467,1,8,2
CCM0855,1,6,2
CCR0863,1,5,1
CCW0031,0,10,4
CCW0524,1,5,1
CEB0210,1,4,1
CEJ0109,0,4,0
CEL0561,1,6,1
CFG0959,1,6,1
