user,usb_insertions,files_accessed,sensitive_files_accessed
AAE0190,1,1,0
AAF0535,1,3,1
AAF0791,1,6,1
AAL0706,1,8,1
AAM0658,1,6,2
AAN0823,2,5,0
AAS0442,1,5,1
AAV0450,3,4,2
AAW0353,1,3,1
ABC0174,0,7,1
ABC0253,1,4,1
ABH0663,0,9,3
ABM0845,0,7,1
ABN0239,0,8,2
ACC0042,0,8,1
ACV0812,0,6,1
ADC0391,0,8,2
ADD0846,10,48,41
ADF0397,1,3,1
AES0827,1,2,1
AGB0186,1,8,3
AGB0643,2,4,0
AHC0142,1,7,1
AHD0848,0,6,1
AHG0634,0,2,1
AHM0410,2,3,2
AIB0948,1,8,1
AIH0675,0,7,1
AIM0627,1,7,1
AIP0394,0,4,1
AIP0982,3,9,3
AIS0405,1,7,1
AJC0840,6,57,52
AJD0074,1,5,0
AJF0370,1,3,0
AJH0175,0,5,2
AJL0462,1,4,1
AJN0607,1,8,1
AJP0723,0,2,1
AJR0319,1,3,2
AJR0932,0,2,1
AKC0924,1,3,0
AKF0709,1,5,1
AKH0758,0,8,3
AKK0329,1,8,1
AKR0057,1,8,1
AKW0167,0,4,2
ALB0892,1,10,4
ALC0788,1,7,4
ALD0529,0,3,1
ALD0544,1,3,1
ALH0402,0,6,1
AMD0077,1,7,2
AMH0464,0,3,2
AMH0794,0,12,6
AMJ0297,1,7,1
AMM0014,1,6,3
AMR0318,1,3,1
AMR0400,0,2,1
AMV0036,0,8,3
AMW0392,0,4,1
ANM0123,14,58,55
ANP0555,13,37,31
ANT0430,0,3,1
AOB0019,2,2,1
AOK0844,1,6,1
AOS0987,1,4,2
APG0307,1,6,1
AQD0820,0,5,3
ARA0252,9,39,34
ARB0834,1,4,1
ARB0881,3,10,3
ARD0509,0,5,4
ARL0034,0,6,1
ASB0796,1,5,0
ASD0577,0,6,0
ASG0048,1,7,0
ASG0692,0,5,1
ASL0378,0,7,0
ASM0575,1,7,1
ASS0206,2,4,1
ASS0517,0,7,1
ASV0946,0,4,1
ATE0869,1,7,1
ATF0274,0,2,0
ATP0662,0,8,1
AVM0947,1,7,2
AWM0764,1,3,1
BAH0875,1,7,1
BAJ0654,0,6,0
BAK0964,1,8,1
BAL0044,0,3,1
BAM0611,3,8,6
BAM0636,1,3,2
BBG0325,1,10,7
BBH0810,2,2,1
BBS0039,0,7,0
BBS0422,1,2,1
BCB0679,0,7,1
BCM0653,1,1,0
BCR0581,0,3,1
BDB0453,1,8,1
BDI0533,1,6,1
BDV0168,0,6,2
BEC0505,1,8,1
BEH0615,0,6,1
BER0314,1,4,1
BHC0665,1,4,1
BHW0458,1,9,4
BIH0745,2,9,3
BIS0247,1,7,1
BJH0354,3,5,1
BJH0811,1,2,0
BJM0111,0,5,0
BJP0134,0,6,0
BJW0619,0,3,1
BKW0374,1,3,1
BLB0114,0,2,1
BLL0929,1,3,1
