user,usb_insertions,files_accessed,sensitive_files_accessed
AAE0190,1,1,0
AAF0535,1,5,1
AAF0791,1,6,2
AAL0706,1,4,1
AAM0658,1,5,2
AAN0823,2,3,0
AAS0442,1,3,1
AAV0450,2,3,1
AAW0353,1,7,1
ABC0174,0,6,1
ABC0253,1,8,1
ABH0663,0,7,4
ABM0845,0,5,1
ABN0239,0,6,2
ACC0042,0,6,1
ACV0812,0,8,1
ADC0391,0,4,2
ADD0846,9,45,42
ADF0397,1,6,1
AES0827,1,3,1
AGB0186,1,6,3
AGB0643,1,5,0
AHC0142,1,2,1
AHD0848,0,5,1
AHG0634,0,7,1
AHM0410,1,8,1
AIB0948,2,5,2
AIH0675,0,9,2
AIM0627,1,3,1
AIP0394,0,4,1
AIP0982,1,3,1
AIS0405,1,7,2
AJC0840,7,62,56
AJD0074,1,7,0
AJF0370,1,1,0
AJH0175,0,6,2
AJL0462,1,7,1
AJN0607,1,5,1
AJP0723,0,3,1
AJR0319,1,5,2
AJR0932,0,3,1
AKC0924,1,6,0
AKF0709,1,3,1
AKH0758,0,3,2
AKK0329,1,6,1
AKR0057,1,4,1
AKW0167,0,8,1
ALB0892,1,9,4
ALC0788,1,12,5
ALD0529,0,8,2
ALD0544,1,4,1
ALH0402,0,8,2
AMD0077,1,8,3
AMH0464,0,7,1
AMH0794,1,11,8
AMJ0297,1,8,1
AMM0014,1,5,3
AMR0318,1,7,1
AMR0400,0,7,1
AMV0036,0,7,4
AMW0392,0,6,1
ANM0123,10,61,57
ANP0555,13,30,23
ANT0430,0,4,1
AOB0019,3,3,2
AOK0844,1,2,1
AOS0987,1,3,2
APG0307,1,2,1
AQD0820,0,8,2
ARA0252,8,37,32
ARB0834,1,5,1
ARB0881,3,7,3
ARD0509,0,9,3
ARL0034,0,5,1
ASB0796,1,7,0
ASD0577,0,1,0
ASG0048,1,7,0
ASG0692,0,3,1
ASL0378,0,5,0
ASM0575,1,6,1
ASS0206,2,8,1
ASS0517,0,2,1
ASV0946,0,4,1
ATE0869,3,7,3
ATF0274,0,2,0
ATP0662,0,3,2
AVM0947,1,5,2
AWM0764,1,5,1
BAH0875,1,2,1
BAJ0654,0,3,0
BAK0964,1,2,1
BAL0044,1,6,3
BAM0611,1,6,4
BAM0636,1,9,2
BBG0325,1,5,4
BBH0810,1,6,1
BBS0039,0,5,0
BBS0422,1,6,1
BCB0679,0,8,1
BCM0653,1,4,0
BCR0581,0,8,1
BDB0453,1,3,1
BDI0533,1,8,1
BDV0168,0,3,2
BEC0505,1,8,1
BEH0615,0,4,1
BER0314,1,7,1
BHC0665,1,7,1
BHW0458,1,9,4
BIH0745,1,3,2
BIS0247,1,2,1
BJH0354,3,5,1
BJH0811,1,1,0
BJM0111,0,1,0
BJP0134,0,7,0
BJW0619,0,4,1
BKW0374,1,4,1
BLB0114,0,5,2
BLL0929,1,7,1
BLS0678,2,5,1
BMC0547,1,6,1
BMG0917,1,9,2
BMM0112,0,4,0
BMS0877,1,1,0
BMT0528,17,70,63
BNG0237,1,8,1
BNR0965,1,4,0
BQS0525,1,6,2
BRB0355,1,7,2
BRM0995,0,5,0
BRS0734,5,41,38
BSA0431,5,35,34
BSB0990,0,2,0
BSH0445,0,7,1
BSS0369,1,5,1
BSS0463,2,3,1
BTL0226,1,4,0
BTL0722,1,9,3
BTN0061,0,3,1
BTR0403,0,4,1
BTS0011,0,2,1
BTW0005,2,3,1
BVC0790,0,2,1
BVN0514,1,7,0
BWH0813,13,70,63
BWP0202,1,3,1
BXJ0010,0,4,0
BYP0070,0,3,1
CAA0612,1,8,1
CAB0388,1,3,0
CAB0614,2,1,0
CAC0889,1,5,4
CAH0936,1,7,1
CAM0102,0,6,1
CAM0681,8,91,85
CAN0842,0,5,1
CAS0507,1,5,1
CBB0365,0,6,3
CBG0398,1,3,1
