user,total_emails,external_emails,attachments_sent,bcc_in_email,avg_email_size
AAE0190,3,0,0,0,71.14
AAF0535,3,0,0,0,116.46
AAF0791,2,0,0,0,199.3
AAL0706,4,0,1,0,206.42
AAM0658,5,0,0,0,138.51
AAN0823,5,0,0,0,279.73
AAS0442,2,0,0,0,66.75
AAV0450,3,0,0,0,97.72
AAW0353,2,0,0,0,184.21
ABC0174,2,0,0,0,227.47
ABC0253,2,0,0,0,282.11
ABH0663,3,0,0,0,52.33
ABM0845,5,0,0,0,129.07
ABN0239,2,0,0,0,236.28
ACC0042,2,0,0,0,116.45
ACV0812,2,0,0,0,242.82
ADC0391,2,0,0,0,101.89
ADD0846,43,9,11,2,141.64
ADF0397,2,0,0,0,58.74
AES0827,2,0,0,0,187.23
AGB0186,5,0,0,0,176.05
AGB0643,2,0,0,0,148.86
AHC0142,2,0,0,0,283.94
AHD0848,2,0,0,0,216.76
AHG0634,2,0,0,0,269.61
AHM0410,2,0,0,0,242.92
AIB0948,3,0,0,0,288.61
AIH0675,2,0,0,0,264.18
AIM0627,3,0,0,0,125.12
AIP0394,5,1,0,0,203.59
AIP0982,3,0,0,0,230.4
AIS0405,4,0,0,0,204.81
AJC0840,39,5,6,1,168.52
AJD0074,4,0,1,0,198.22
AJF0370,2,0,0,0,279.25
AJH0175,2,0,0,0,174.54
AJL0462,2,0,0,0,63.5
AJN0607,2,0,0,0,271.44
AJP0723,2,0,0,0,255.87
AJR0319,4,0,0,0,138.75
AJR0932,2,0,0,0,123.08
AKC0924,2,0,0,0,164.8
AKF0709,2,0,0,0,199.07
AKH0758,2,0,0,0,170.74
AKK0329,2,0,0,0,165.17
AKR0057,2,0,0,0,174.39
AKW0167,4,0,0,0,276.33
ALB0892,4,0,1,0,182.83
ALC0788,4,0,0,0,177.33
ALD0529,2,0,0,0,119.73
ALD0544,2,0,0,0,116.77
ALH0402,2,0,0,0,122.65
AMD0077,3,0,0,0,295.43
AMH0464,2,0,0,0,71.78
AMH0794,7,1,0,0,170.55
AMJ0297,4,0,0,0,282.48
AMM0014,3,0,0,0,274.93
AMR0318,4,0,0,0,179.41
AMR0400,2,0,0,0,181.35
AMV0036,3,0,0,0,214.57
AMW0392,2,0,0,0,193.85
ANM0123,77,16,21,2,156.45
ANP0555,38,8,3,0,188.08
ANT0430,2,0,0,0,196.13
AOB0019,4,0,0,0,293.01
AOK0844,2,0,0,0,234.08
AOS0987,4,0,0,0,263.56
APG0307,2,0,0,0,174.97
AQD0820,2,0,0,0,275.39
ARA0252,54,9,7,0,63.94
ARB0834,2,0,0,0,270.56
ARB0881,3,0,0,0,193.39
ARD0509,3,0,0,0,212.24
