user,usb_insertions,files_accessed,sensitive_files_accessed
AAE0190,1,5,0
AAF0535,1,7,1
AAF0791,1,7,1
AAL0706,1,7,1
AAM0658,1,9,2
AAN0823,2,7,0
AAS0442,1,6,1
AAV0450,2,8,1
AAW0353,1,6,1
ABC0174,0,3,1
ABC0253,1,4,1
ABH0663,0,7,3
ABM0845,0,5,1
ABN0239,0,4,2
ACC0042,0,2,1
ACV0812,0,5,1
ADC0391,0,5,2
ADD0846,9,36,33
ADF0397,1,3,1
AES0827,1,6,1
AGB0186,1,5,3
AGB0643,2,1,0
AHC0142,1,7,1
AHD0848,0,5,1
AHG0634,0,4,1
AHM0410,1,3,1
AIB0948,1,6,1
AIH0675,0,6,1
AIM0627,1,8,1
AIP0394,0,3,1
AIP0982,1,5,1
AIS0405,1,8,1
AJC0840,6,60,54
AJD0074,1,7,0
AJF0370,1,2,0
AJH0175,0,4,2
AJL0462,1,3,2
AJN0607,1,6,2
AJP0723,0,8,1
AJR0319,1,8,2
AJR0932,0,6,1
AKC0924,1,7,0
AKF0709,1,6,1
AKH0758,0,8,2
AKK0329,1,8,1
AKR0057,1,3,1
AKW0167,0,7,1
ALB0892,1,9,5
ALC0788,1,6,4
ALD0529,0,8,1
ALD0544,1,5,1
ALH0402,0,5,1
AMD0077,2,10,4
AMH0464,0,6,1
AMH0794,0,5,4
AMJ0297,1,6,1
AMM0014,1,7,3
AMR0318,1,3,1
AMR0400,0,2,1
AMV0036,0,5,3
AMW0392,0,3,1
ANM0123,13,47,43
ANP0555,15,27,23
ANT0430,0,2,1
AOB0019,2,8,1
AOK0844,1,6,1
AOS0987,1,7,2
APG0307,1,3,1
AQD0820,0,9,2
ARA0252,10,38,35
ARB0834,1,8,1
ARB0881,1,6,1
ARD0509,0,7,4
ARL0034,0,8,1
ASB0796,1,5,0
ASD0577,0,1,0
ASG0048,2,3,1
ASG0692,0,8,1
ASL0378,0,3,0
ASM0575,1,3,1
ASS0206,2,6,1
ASS0517,0,2,1
ASV0946,0,5,1
ATE0869,1,6,1
ATF0274,0,2,0
ATP0662,0,7,1
AVM0947,1,8,2
AWM0764,1,7,1
BAH0875,1,4,1
BAJ0654,0,3,0
BAK0964,1,3,1
BAL0044,0,2,1
BAM0611,1,5,4
BAM0636,1,3,2
BBG0325,1,6,5
BBH0810,1,7,1
BBS0039,0,2,0
BBS0422,1,3,1
BCB0679,0,5,1
BCM0653,1,1,0
BCR0581,0,4,1
BDB0453,1,4,1
BDI0533,2,7,3
BDV0168,0,8,2
BEC0505,1,6,1
BEH0615,0,5,1
BER0314,1,8,1
BHC0665,1,6,1
BHW0458,1,9,5
BIH0745,1,8,2
BIS0247,1,3,1
BJH0354,3,2,1
BJH0811,1,6,0
BJM0111,0,1,0
BJP0134,0,5,0
BJW0619,0,8,1
BKW0374,1,4,1
BLB0114,0,5,1
BLL0929,1,8,1
BLS0678,2,4,1
BMC0547,1,4,1
BMG0917,1,3,2
BMM0112,0,5,0
BMS0877,1,5,0
BMT0528,9,39,38
BNG0237,1,7,1
BNR0965,1,3,0
BQS0525,1,9,2
BRB0355,1,7,2
BRM0995,1,2,1
BRS0734,4,45,38
BSA0431,4,48,47
BSB0990,0,6,0
BSH0445,0,5,1
BSS0369,1,7,1
BSS0463,2,8,1
BTL0226,1,7,0
BTL0722,1,6,2
BTN0061,0,8,1
BTR0403,1,7,2
BTS0011,0,6,1
BTW0005,1,2,1
BVC0790,0,2,1
BVN0514,1,6,0
BWH0813,13,58,57
BWP0202,1,8,1
BXJ0010,0,3,0
BYP0070,1,9,2
CAA0612,1,3,1
CAB0388,1,5,0
CAB0614,2,7,0
CAC0889,1,10,3
CAH0936,1,8,1
CAM0102,0,7,1
CAM0681,6,62,56
CAN0842,0,5,1
CAS0507,1,4,1
CBB0365,0,5,3
CBG0398,1,3,1
CBG0490,1,7,2
CCA0046,2,5,3
CCC0393,0,9,2
CCH0182,1,4,2
CCH0685,1,6,0
CCL0068,1,8,1
CCM0136,1,6,1
CCM0467,2,10,4
CCM0855,1,5,2
CCR0863,1,4,1
CCW0031,0,9,3
CCW0524,1,3,1
CEB0210,1,6,1
CEJ0109,0,6,0
CEL0561,1,7,1
CFG0959,1,2,1
CFM0767,0,7,0
CFW0264,0,3,1
CGA0629,1,5,1
CGB0637,0,8,1
CGF0337,0,5,2
CHG0146,3,6,2
CHM0821,1,7,0
CIG0052,0,7,1
CIM0271,2,8,1
CIM0926,1,6,1
CJC0494,0,7,1
CJF0802,1,5,1
CJG0470,1,4,1
CJH0702,1,8,1
CJK0200,1,4,1
CJM0138,0,11,4
