user,usb_insertions,files_accessed,sensitive_files_accessed
AAE0190,1,4,0
AAF0535,1,7,1
AAF0791,1,9,2
AAL0706,1,2,1
AAM0658,1,8,2
AAN0823,3,7,0
AAS0442,1,3,1
AAV0450,3,4,2
AAW0353,1,7,1
ABC0174,0,4,1
ABC0253,1,7,1
ABH0663,0,7,3
ABM0845,0,3,1
ABN0239,0,6,3
ACC0042,0,7,1
ACV0812,0,3,1
ADC0391,0,3,2
ADD0846,9,38,33
ADF0397,1,5,1
AES0827,1,8,2
AGB0186,1,7,4
AGB0643,1,5,0
AHC0142,1,2,1
AHD0848,0,6,1
AHG0634,0,6,1
AHM0410,1,2,1
AIB0948,1,6,1
AIH0675,0,6,1
AIM0627,2,8,2
AIP0394,1,7,3
AIP0982,2,3,2
AIS0405,1,6,1
AJC0840,8,63,57
AJD0074,2,5,1
AJF0370,1,2,0
AJH0175,0,5,2
AJL0462,1,4,1
AJN0607,1,3,1
AJP0723,0,6,2
AJR0319,1,4,2
AJR0932,0,3,1
AKC0924,1,3,0
AKF0709,1,4,1
AKH0758,0,5,3
AKK0329,1,5,1
AKR0057,1,8,1
AKW0167,1,4,3
ALB0892,1,6,5
ALC0788,1,4,3
ALD0529,0,4,1
ALD0544,1,2,1
ALH0402,0,2,1
AMD0077,1,4,2
AMH0464,0,8,1
AMH0794,0,6,5
AMJ0297,1,7,1
AMM0014,1,6,4
AMR0318,1,3,1
AMR0400,0,5,1
AMV0036,0,11,4
AMW0392,0,8,1
ANM0123,12,52,45
ANP0555,14,33,28
ANT0430,0,5,2
AOB0019,2,3,1
AOK0844,1,4,1
AOS0987,2,8,3
APG0307,1,2,1
AQD0820,0,4,2
ARA0252,10,36,33
ARB0834,1,7,1
ARB0881,1,5,1
ARD0509,0,9,3
ARL0034,0,4,1
ASB0796,1,5,0
ASD0577,0,5,0
ASG0048,1,7,0
ASG0692,0,6,1
ASL0378,0,2,0
ASM0575,1,5,1
ASS0206,3,6,2
ASS0517,0,3,1
ASV0946,0,2,1
ATE0869,1,2,1
ATF0274,0,6,0
ATP0662,1,10,3
AVM0947,1,6,2
AWM0764,1,4,1
BAH0875,1,8,1
BAJ0654,0,5,0
BAK0964,2,5,2
BAL0044,0,3,1
BAM0611,1,8,3
BAM0636,1,5,2
BBG0325,1,10,5
BBH0810,1,7,1
BBS0039,0,1,0
BBS0422,1,4,1
BCB0679,0,4,1
BCM0653,1,1,0
BCR0581,0,2,1
BDB0453,1,2,1
BDI0533,1,3,1
BDV0168,0,9,3
BEC0505,1,4,1
BEH0615,0,2,1
BER0314,1,2,1
BHC0665,1,2,1
BHW0458,2,9,6
BIH0745,1,6,2
BIS0247,1,5,1
BJH0354,4,3,1
BJH0811,1,7,0
BJM0111,0,1,0
BJP0134,0,6,0
BJW0619,0,8,1
BKW0374,1,8,1
BLB0114,0,6,1
BLL0929,1,7,1
BLS0678,2,4,1
BMC0547,1,3,1
BMG0917,1,9,2
BMM0112,0,4,0
BMS0877,1,4,0
BMT0528,13,57,50
BNG0237,2,5,1
BNR0965,1,5,0
BQS0525,1,3,2
BRB0355,1,7,2
BRM0995,0,2,0
BRS0734,5,49,48
BSA0431,4,43,41
BSB0990,0,3,0
BSH0445,0,8,1
BSS0369,1,3,1
BSS0463,2,7,1
BTL0226,1,1,0
BTL0722,1,5,2
BTN0061,0,3,1
BTR0403,0,8,1
BTS0011,0,7,1
BTW0005,1,7,1
BVC0790,0,8,1
BVN0514,2,3,0
BWH0813,19,71,67
BWP0202,1,4,1
BXJ0010,0,6,0
BYP0070,0,4,1
CAA0612,1,3,1
CAB0388,1,2,0
CAB0614,2,3,0
CAC0889,1,7,4
CAH0936,1,4,1
CAM0102,0,5,1
CAM0681,7,56,52
CAN0842,0,7,1
CAS0507,1,5,1
CBB0365,0,9,3
CBG0398,1,7,1
CBG0490,1,3,2
CCA0046,2,9,3
CCC0393,0,6,2
CCH0182,1,5,2
CCH0685,1,5,0
CCL0068,1,2,1
CCM0136,3,4,2
CCM0467,1,6,2
CCM0855,1,7,2
CCR0863,1,7,1
CCW0031,0,4,3
CCW0524,1,2,1
CEB0210,1,3,1
CEJ0109,0,3,0
CEL0561,1,8,1
CFG0959,2,8,3
CFM0767,0,1,0
CFW0264,0,8,1
CGA0629,1,5,1
CGB0637,0,8,1
CGF0337,0,3,1
CHG0146,2,4,1
CHM0821,1,1,0
CIG0052,0,7,1
CIM0271,2,3,1
CIM0926,1,5,1
CJC0494,0,7,1
CJF0802,1,8,1
CJG0470,1,5,1
CJH0702,1,4,1
CJK0200,1,3,1
CJM0138,0,7,5
CJM0521,0,7,1
CJP0952,1,5,0
CJV0286,1,2,1
CKB0427,2,3,2
CKB0482,2,7,1
CKD0680,0,9,3
CKH0144,1,2,1
CKP0721,0,5,0
CLB0774,1,10,5
CLD0894,0,3,0
CLF0852,0,4,1
CLH0703,0,6,2
CLS0296,2,10,4
CMB0912,1,3,1
CMM0487,1,6,0
CMS0454,3,8,3
CMW0783,1,7,2
CNB0900,1,4,2
CNE0352,1,6,1
CNM0800,1,4,1
COF0120,15,29,28
COM0321,1,6,0
CPG0322,1,4,0
CQH0701,1,5,2
CQH0730,1,6,4
CQW0652,1,4,0
CRD0624,1,5,1
CRK0916,0,2,1
CRO0027,1,5,2
CRP0456,1,8,1
CSB0080,0,5,1
CSC0217,1,6,1
CSH0626,0,6,2
CSJ0340,1,7,1
CSL0949,1,2,1
CSP0197,0,3,0
CTA0020,7,31,24
CTR0341,2,3,1
CTR0697,0,5,1
CTW0500,1,4,1
CUD0795,1,8,1
CWB0065,4,9,2
CWR0502,3,6,3
CXC0336,9,69,62
CYA0506,0,5,3
DAG0558,1,8,1
DAL0673,1,5,0
DAR0885,1,5,1
DBB0384,0,7,1
DBG0261,7,73,66
DBS0235,0,9,2
DBW0483,0,2,0
DCC0160,7,58,53
DCH0843,1,5,3
DDA0476,0,6,1
DDM0579,1,6,1
DEB0782,0,5,1
DFH0188,1,5,1
DFR0218,1,5,2
DGF0443,10,73,67
DGM0754,0,8,1
DGN0480,0,7,2
DGW0752,14,54,50
DHM0937,1,6,1
DIB0081,1,4,1
DIB0285,0,2,1
DIC0988,1,4,2
DID0650,0,9,3
DIW0118,1,9,6
DJB0159,0,5,0
DJS0682,12,49,44
DKB0631,1,5,2
DLF0377,11,68,62
DLH0029,10,41,39
DLM0051,0,3,1
DLS0383,0,2,0
