user,usb_insertions,files_accessed,sensitive_files_accessed
AAE0190,1,7,0
AAF0535,1,7,1
AAF0791,1,3,1
AAL0706,1,5,1
AAM0658,2,8,3
AAN0823,2,1,0
AAS0442,1,8,1
AAV0450,2,6,1
AAW0353,1,4,1
ABC0174,0,4,1
ABC0253,1,5,1
ABH0663,0,5,3
ABM0845,0,4,1
ABN0239,0,10,3
ACC0042,0,8,1
ACV0812,0,6,1
ADC0391,0,8,2
ADD0846,8,40,34
ADF0397,1,5,1
AES0827,1,2,1
AGB0186,1,4,3
AGB0643,2,6,0
AHC0142,1,7,1
AHD0848,0,2,1
AHG0634,0,4,1
AHM0410,1,7,1
AIB0948,1,8,1
AIH0675,0,3,1
AIM0627,1,3,1
AIP0394,0,3,1
AIP0982,1,5,1
AIS0405,1,6,1
AJC0840,7,54,50
AJD0074,1,4,0
AJF0370,1,5,0
AJH0175,0,5,2
AJL0462,1,7,1
AJN0607,1,8,1
AJP0723,0,6,1
AJR0319,1,3,2
AJR0932,0,6,1
AKC0924,1,7,0
AKF0709,1,3,1
AKH0758,0,5,2
AKK0329,1,6,1
AKR0057,1,4,1
AKW0167,0,8,1
ALB0892,1,12,5
ALC0788,2,11,6
ALD0529,0,6,1
ALD0544,1,7,1
ALH0402,0,7,1
AMD0077,1,10,3
AMH0464,0,6,1
AMH0794,0,10,4
AMJ0297,2,7,1
AMM0014,1,10,3
AMR0318,1,8,1
AMR0400,0,7,1
AMV0036,0,4,3
AMW0392,0,2,1
ANM0123,12,58,52
ANP0555,12,36,31
ANT0430,1,8,3
AOB0019,3,5,2
AOK0844,1,4,2
AOS0987,1,3,2
APG0307,1,7,1
AQD0820,0,9,2
ARA0252,10,37,34
ARB0834,1,7,1
ARB0881,3,10,3
ARD0509,0,9,5
ARL0034,0,2,1
ASB0796,1,4,0
ASD0577,0,3,0
ASG0048,1,3,0
ASG0692,0,8,1
ASL0378,0,1,0
ASM0575,1,7,1
ASS0206,2,2,1
ASS0517,0,3,1
ASV0946,0,5,1
ATE0869,1,8,1
ATF0274,0,5,0
ATP0662,1,10,3
AVM0947,1,7,2
AWM0764,1,3,1
BAH0875,1,4,1
BAJ0654,0,6,0
BAK0964,1,2,1
BAL0044,0,3,1
BAM0611,1,6,3
BAM0636,1,6,2
BBG0325,1,10,5
BBH0810,1,4,1
BBS0039,0,7,0
BBS0422,2,6,2
BCB0679,1,3,2
BCM0653,1,3,0
BCR0581,0,2,1
BDB0453,1,5,1
BDI0533,1,6,1
BDV0168,0,3,2
BEC0505,1,6,1
BEH0615,0,8,1
BER0314,1,3,1
BHC0665,1,7,1
BHW0458,1,9,5
BIH0745,1,7,2
BIS0247,1,8,1
BJH0354,5,2,1
BJH0811,1,2,0
BJM0111,0,6,0
BJP0134,0,2,0
BJW0619,0,8,1
BKW0374,2,4,2
BLB0114,0,3,1
BLL0929,1,6,1
