user,total_emails,external_emails,attachments_sent,bcc_in_email,avg_email_size
AAE0190,4,0,0,0,240.5
AAF0535,3,0,0,0,213.12
AAF0791,2,0,0,0,142.42
AAL0706,2,0,0,0,217.99
AAM0658,4,0,1,0,254.04
AAN0823,2,0,0,0,214.67
AAS0442,2,0,0,0,86.65
AAV0450,4,0,0,0,204.28
AAW0353,2,0,0,0,139.74
ABC0174,2,0,0,0,168.92
ABC0253,2,0,0,0,59.61
ABH0663,3,0,0,0,98.51
ABM0845,3,0,0,0,178.05
ABN0239,2,0,0,0,126.14
ACC0042,2,0,0,0,93.31
ACV0812,3,0,0,0,250.78
ADC0391,2,0,0,0,242.83
ADD0846,46,2,8,3,279.07
ADF0397,2,0,0,0,182.99
AES0827,2,0,0,0,166.23
AGB0186,5,0,1,0,249.38
AGB0643,2,0,0,0,221.45
AHC0142,2,0,0,0,152.48
AHD0848,2,0,0,0,101.5
AHG0634,2,0,0,0,225.31
AHM0410,2,0,0,0,134.62
AIB0948,4,0,1,0,161.93
AIH0675,2,0,0,0,276.91
AIM0627,5,0,1,0,281.67
AIP0394,2,0,0,0,277.05
AIP0982,3,0,0,0,281.33
AIS0405,2,0,0,0,183.99
AJC0840,66,10,9,3,115.19
AJD0074,3,0,0,0,191.02
AJF0370,2,0,0,0,156.03
AJH0175,2,0,0,0,52.46
AJL0462,3,0,0,0,84.7
AJN0607,2,0,0,0,205.99
AJP0723,2,0,0,0,102.07
AJR0319,5,1,1,0,111.62
AJR0932,2,0,0,0,173.65
AKC0924,2,0,0,0,190.34
AKF0709,2,0,0,0,84.5
AKH0758,2,0,0,0,120.42
AKK0329,4,0,0,0,230.34
AKR0057,2,0,0,0,276.4
AKW0167,2,0,0,0,50.21
ALB0892,4,0,0,0,164.8
ALC0788,3,0,0,0,96.68
ALD0529,2,0,0,0,152.25
ALD0544,2,0,0,0,99.5
ALH0402,2,0,0,0,217.4
AMD0077,3,0,0,0,115.65
AMH0464,2,0,0,0,282.38
AMH0794,4,0,0,0,180.28
AMJ0297,3,0,0,0,111.46
AMM0014,4,0,0,0,272.3
AMR0318,2,0,0,0,288.65
AMR0400,2,0,0,0,262.97
AMV0036,4,0,1,0,221.34
AMW0392,2,0,0,0,96.35
ANM0123,62,14,11,2,58.49
ANP0555,54,8,14,3,98.55
ANT0430,2,0,0,0,89.91
AOB0019,4,0,0,0,224.49
AOK0844,2,0,0,0,66.24
AOS0987,3,0,0,0,162.81
APG0307,2,0,0,0,57.11
AQD0820,2,0,0,0,124.13
ARA0252,35,7,9,0,118.2
ARB0834,2,0,0,0,135.05
ARB0881,3,0,0,0,251.43
ARD0509,3,0,0,0,176.7
ARL0034,2,0,0,0,217.93
ASB0796,2,0,0,0,144.54
ASD0577,2,0,0,0,186.64
ASG0048,3,0,0,0,161.84
ASG0692,2,0,0,0,275.12
ASL0378,2,0,0,0,158.11
ASM0575,2,0,0,0,177.1
ASS0206,4,0,0,0,255.37
ASS0517,2,0,0,0,145.41
ASV0946,2,0,0,0,54.68
ATE0869,3,0,0,0,54.16
ATF0274,2,0,0,0,241.53
ATP0662,5,0,0,0,193.12
AVM0947,3,0,0,0,259.49
AWM0764,4,0,0,0,77.65
BAH0875,2,0,0,0,232.25
BAJ0654,2,0,0,0,98.2
BAK0964,2,0,0,0,115.48
BAL0044,2,0,0,0,275.05
BAM0611,5,0,1,0,68.15
BAM0636,3,0,0,0,65.1
BBG0325,4,0,0,0,69.61
BBH0810,3,0,0,0,259.87
BBS0039,2,0,0,0,218.42
BBS0422,2,0,0,0,187.44
BCB0679,2,0,0,0,162.41
BCM0653,3,0,0,0,186.87
BCR0581,2,0,0,0,210.24
BDB0453,2,0,0,0,65.19
BDI0533,4,0,0,0,186.27
BDV0168,2,0,0,0,93.01
BEC0505,2,0,0,0,125.8
BEH0615,4,0,0,0,298.89
BER0314,3,0,0,0,258.13
BHC0665,2,0,0,0,287.23
BHW0458,5,0,1,0,75.37
BIH0745,6,1,1,0,72.38
BIS0247,2,0,0,0,122.64
BJH0354,3,0,0,0,178.97
BJH0811,2,0,0,0,65.57
BJM0111,3,0,0,0,87.87
BJP0134,2,0,0,0,224.38
BJW0619,2,0,0,0,256.58
BKW0374,2,0,0,0,101.76
BLB0114,2,0,0,0,87.21
BLL0929,2,0,0,0,248.5
BLS0678,3,0,0,0,105.32
BMC0547,3,0,0,0,193.1
BMG0917,3,0,0,0,214.65
BMM0112,3,0,0,0,68.19
BMS0877,3,0,0,0,293.84
BMT0528,64,10,16,3,271.47
BNG0237,3,0,0,0,156.3
BNR0965,2,0,0,0,155.48
BQS0525,3,0,0,0,136.5
BRB0355,3,0,0,0,102.33
BRM0995,3,0,0,0,100.56
BRS0734,53,4,4,2,193.53
BSA0431,50,11,5,2,281.01
BSB0990,2,0,0,0,127.12
BSH0445,2,0,0,0,173.62
BSS0369,2,0,0,0,108.06
BSS0463,4,0,1,0,94.05
BTL0226,2,0,0,0,241.01
BTL0722,3,0,0,0,107.02
BTN0061,5,1,1,0,160.26
BTR0403,3,0,0,0,220.12
BTS0011,2,0,0,0,170.99
BTW0005,2,0,0,0,111.61
BVC0790,2,0,0,0,270.92
BVN0514,2,0,0,0,201.92
BWH0813,48,10,14,1,85.58
BWP0202,2,0,0,0,216.87
BXJ0010,2,0,0,0,154.18
BYP0070,3,0,0,0,166.3
CAA0612,2,0,0,0,198.6
CAB0388,2,0,0,0,107.78
CAB0614,2,0,0,0,183.63
CAC0889,3,0,0,0,122.24
CAH0936,2,0,0,0,114.61
CAM0102,2,0,0,0,296.32
CAM0681,50,6,6,3,63.25
CAN0842,2,0,0,0,252.03
CAS0507,3,0,0,0,270.21
CBB0365,4,0,0,0,97.31
CBG0398,2,0,0,0,264.96
CBG0490,2,0,0,0,102.45
CCA0046,2,0,0,0,188.38
CCC0393,2,0,0,0,130.88
CCH0182,5,1,1,0,252.94
CCH0685,2,0,0,0,82.17
CCL0068,2,0,0,0,258.07
CCM0136,4,0,0,0,95.42
CCM0467,3,0,0,0,126.85
CCM0855,5,1,0,0,190.89
